isni,name_count,surname,forename
0000000080846129,4,Weston,Jessie L.
0000000080846129,5,Weston,Jessie L.
0000000080846129,6,Weston,Jessie L.
0000000080846129,7,Weston,Jessie Laidlay
0000000080846129,8,Weston,Jessie Laidlay
0000000080846129,9,Weston,Jessie Laidlay
0000000080846129,10,Weston,Jessie Laidlay
0000000080846129,11,Weston,Jessie Laidlay
0000000080846129,12,Weston,Jessie Laidlay
0000000080846129,13,Weston,Jessie Laidlay
0000000080846129,14,Weston,Jessie Laidlay
0000000080846129,15,Weston,Jessie Laidlay
0000000510863851,1,Berkeley,Rose
0000000038732822,1,Davies,Margaret
0000000038732822,2,Davies,Margaret
0000000038732822,3,Davies,Margaret
0000000049361094,1,Lindsay,Harriet Loyd
0000000049361094,2,Harriet Loyd Lindsay,
0000000049361094,3,Wantage,Harriet Sarah Loyd-Lindsay
0000000049361094,4,Wantage,Harriet Sarah Loyd-Lindsay
0000000510941768,1,Lovett,Arden
0000000385645416,1,Climenson,Emily J.
0000000385645416,2,Climenson,Emily J.
0000000385645416,3,Climenson,Emily Jane
0000000510935595,1,Wickham,
000000006197503X,1,Mills,Mabel Helmer
000000006197503X,2,Mills,Mabel Helmer
0000000510870189,1,Jackson,
0000000395447237,1,Taylor,Margerie Venables
0000000395447237,2,Taylor,M.V.
0000000389938080,1,Cunnington,Maud
0000000389938080,2,Cunnington,Maud Edith
0000000510863827,1,Green,Mary
0000000510958842,1,Dickson,Isabel A.
0000000123211327,1,Sellers Strong,Eugenie
0000000123211327,3,Eugenie Sellers Strong,
0000000123211327,4,Sellers,Eugenie
0000000123211327,5,Strong,Eugenie
0000000123211327,6,Strong,Eugenie
0000000123211327,7,Strong,Eugenie
0000000123211327,8,Strong,Eugenie Sellers
0000000123211327,9,Strong,Eugenie Sellers
0000000123211327,10,Strong,Eugenie
0000000123211327,11,Strong,Eugenie
0000000123211327,12,Strong,Eugenie
0000000123211327,13,Strong,Eugenie
0000000123211327,14,Strong,Eugenie
0000000123211327,15,Strong,Eugenie
0000000510863640,1,Span,Emma Matilda
0000000443587147,1,Lockyer,Thomazine Mary Browne
0000000443587147,2,Lockyer,Thomazine Mary
0000000510922823,1,Anderson,Edith
000000051084487X,1,Greene,Miss
0000000510869903,1,Dunkin,Ellen Elizabeth
0000000510842540,1,Sworder,Clara E.
000000049115117X,1,Ramsay,Lucy
000000049115117X,2,Ramsay,Lucy
0000000510959423,1,Wherry,Beatrix Albina
0000000510848459,1,Colman,Ethel Mary
0000000109075939,1,Harrison,Jane Ellen
0000000109075939,2,Harrison,Jane Ellen
0000000109075939,3,Harrison,Jane Ellen
0000000109075939,4,Harrison,Jane Ellen
0000000109075939,5,Harrison,Jane Ellen
0000000109075939,6,Harrison,Jane Ellen
0000000109075939,7,Harrison,Jane Ellen
0000000109075939,8,Harrison,Jane Ellen
0000000109075939,9,Harrison,Jane Ellen
0000000109075939,10,Harrison,Jane Ellen
0000000109075939,11,Harrison,Jane Ellen
0000000109075939,12,Harrison,Jane Ellen
0000000109075939,13,Harrison,Jane
0000000109075939,14,Harrison,Jane
0000000109075939,15,Jane Ellen Harrison,
0000000109075939,16,Harrison,Jane Ellen
0000000109075939,17,Harrison,Jane Ellen
0000000051098328,1,Honeybourne,Marjorie B.
0000000051098328,2,Honeybourne,Marjorie Blanche
0000000051098328,3,Honeybourne,Marjorie Blanche
0000000510870146,1,Sopwith,Anne
0000000510938040,1,Layard,Ida Helen
0000000510941506,1,Congreve,Mary
0000000510918701,1,Smith,Albert
0000000027828503,1,Rawlins,Sophia W.
0000000027828503,2,Rawlins,Sophia Wyndham
0000000083861308,1,Murray,Margaret Alice
0000000083861308,2,Murray,M. A.
0000000083861308,3,Murray,Margaret Alice
0000000083861308,4,Murray,Margaret Alice
0000000083861308,5,Margaret Murray,
0000000083861308,6,Murray,Margaret Alice
0000000083861308,7,Murray,Margaret Alice
0000000083861308,8,Murray,Margaret Alice
0000000083861308,9,Murray,Margaret Alice
0000000083861308,10,Murray,Margaret Alice
0000000083861308,11,Murray,Margaret Alice
0000000083861308,12,Murray,Margaret Alice
0000000083861308,13,Murray,Margaret Alice
0000000083861308,14,Murray,Margaret Alice
0000000083861308,15,Murray,Margaret Alice
0000000083861308,16,Murray,Margaret Alice
0000000083861308,17,Мюррей,М. А
0000000083861308,18,Murray,Margaret Alice
0000000083861308,19,Murray,Margaret Alice
0000000510823155,1,Edleston,Alice
0000000510858518,1,Peggs,Ada Janet
0000000510967300,1,Dixon,E.
0000000510870162,1,Collinson,Mimi
0000000510868628,1,Wratislaw,Ursula
0000000510848715,1,Heynemann,Mabel Blundell
0000000510923623,1,Walker,Edith Mary
0000000510863376,1,Robinson,May
0000000510848694,1,Collinson,Margaret
0000000510921337,1,Smith,Sarah
0000000510879781,1,Williams,"Audrey, Mrs."
0000000510964986,1,Doyle,Alice F.
000000051094183X,1,Wedgwood,Amy
0000000510860896,1,Perry-Herrick,Sophia
0000000510847923,1,Saunders,Helen
0000000510922962,1,Findlay,Sybil
0000000076947787,1,Willmott,Ellen Ann
0000000076947787,2,Willmott,Ellen
0000000076947787,3,Ellen Ann Willmott,
0000000076947787,4,Willmott,E. A.
0000000076947787,5,Willmott,Ellen A.
0000000076947787,6,Willmott,Ellen Anne
0000000076947787,7,Willmott,Ellen
0000000076947787,8,Willmott,Ellen
0000000510845581,1,Westlake,
0000000510858016,1,Slee,Maria Jane
0000000510848977,1,Burton-Brown,Ethel Ann
0000000510959300,1,Cartwright,Minnie
0000000084838409,1,Bradley,Edith
0000000084838409,2,Bradley,Edith
0000000045009931,1,Macdonald,Louisa
0000000045009931,2,Louisa Macdonald,
0000000045009931,3,Macdonald,Louisa
0000000045009931,4,Macdonald,Louisa
0000000045009931,5,Macdonald,Louisa
0000000432089951,1,Thompson,Ethel Margaret
0000000432089951,2,Thompson,Ethel Margaret
0000000510934859,1,Young,Alison Nugent
000000051088285X,1,Dudley,Dorothy
0000000385731453,1,O'Neil,Helen
0000000385731453,2,O'Neil,Helen Evangeline
0000000385731453,3,O'Neil,Helen Evangeline
000000051096349X,1,Ffennell,Margaret Catherine
0000000049525888,1,Williams,Ethel Carleton
0000000049525888,2,Williams,Ethel Carleton
0000000049525888,3,Williams,Ethel Carleton
0000000049525888,4,Williams,Ethel Carleton
0000000049525888,5,Williams,Ethel Carleton
0000000510949049,1,Holmes,Mabelle
0000000510845485,1,Carter Bonham,Helen
0000000510963764,1,Latham,Charlotte
0000000510858665,1,Kellett,Jocelyn Eva
0000000510917936,1,Goddard,Hannah Lucy
0000000510917987,1,Hedges,
0000000510883940,1,Corser,Margaret
000000049987652X,1,Mason,Bertha
000000049987652X,2,Mason,Bertha
000000049987652X,3,Mason,Bertha
0000000510937275,1,Swann,Emma
0000000510918381,1,Foster,Mrs Johnston
0000000510918680,1,Clements,Helen J.
0000000510959749,1,Cra'ster,Barbara Marion
0000000510857988,1,Burn,Betty
0000000053232498,1,Esdaile,Katharine Ada
0000000053232498,2,Esdaile,Katharine A.
0000000053232498,3,Esdaile,Katharine Ada
0000000053232498,4,Esdaile,Katharine Ada
0000000053232498,5,Esdaile,Katharine Ada
0000000053232498,6,Katharine Ada Esdaile,
0000000510941485,1,Dawson,Mary Louisa
0000000510847974,1,Clarke,Kate M.
0000000510923244,1,Miss Vansittart,
0000000050000608,1,Buchheim,Emma
0000000050000608,2,Buchheim,E. S.
0000000050000608,3,Buchheim,E. S.
0000000050000608,4,Buchheim,E. S.
0000000042893549,1,Ware,H.
0000000042893549,2,Ware,Ellen K.
0000000510869508,1,Thwaites,Jeanette
0000000510883991,1,Pearson,Annie
0000000498092889,1,Chaworth Musters,Lina
0000000498092889,2,Chaworth Musters,
0000000510863691,1,Thomas,E.
0000000114756472,1,Whitelock,Dorothy
0000000114756472,2,Whitelock,Dorothy
0000000114756472,3,Whitelock,Dorothy
0000000114756472,4,Whitelock,Dorothy
0000000114756472,5,Dorothy Whitelock,
0000000114756472,6,Whitelock,Dorothy
0000000114756472,7,Whitelock,Dorothy
0000000114756472,8,Whitelock,Dorothy
0000000114756472,9,Whitelock,Dorothy
0000000114756472,10,Whitelock,Dorothy
0000000114756472,11,Whitelock,Dorothy
0000000114756472,12,Whitelock,Dorothy
0000000114756472,13,Whitelock,Dorothy
0000000114756472,14,Whitelock,Dorothy
0000000114756472,15,Whitelock,Dorothy
0000000510958818,1,Knight,Maude Caroline
0000000111087779,1,Martinengo-Cesaresco,Evelyn
0000000111087779,2,Martinengo-Cesaresco,Evelyn Countess
